Year,Month,climate change: (Worldwide),climate: (Worldwide)
2004,1,7,75
2004,2,12,85
2004,3,9,84
2004,4,9,80
2004,5,9,86
2004,6,6,58
2004,7,5,43
2004,8,6,48
2004,9,7,71
2004,10,7,74
2004,11,10,75
2004,12,7,60
2005,1,9,72
2005,2,9,78
2005,3,8,72
2005,4,7,74
2005,5,8,77
2005,6,8,54
2005,7,6,41
2005,8,6,43
2005,9,8,64
2005,10,9,72
2005,11,11,69
2005,12,8,55
2006,1,8,63
2006,2,9,68
2006,3,11,67
2006,4,9,61
2006,5,9,67
2006,6,8,52
2006,7,7,40
2006,8,6,41
2006,9,9,57
2006,10,12,64
2006,11,14,64
2006,12,9,48
2007,1,15,62
2007,2,21,70
2007,3,16,64
2007,4,18,65
2007,5,17,68
2007,6,13,51
2007,7,12,43
2007,8,11,46
2007,9,13,58
2007,10,17,67
2007,11,19,66
2007,12,15,54
2008,1,14,59
2008,2,15,59
2008,3,15,58
2008,4,17,62
2008,5,15,60
2008,6,13,48
2008,7,12,42
2008,8,10,42
2008,9,13,54
2008,10,15,57
2008,11,15,55
2008,12,12,45
2009,1,12,51
2009,2,14,54
2009,3,15,58
2009,4,15,55
2009,5,14,55
2009,6,14,48
2009,7,12,40
2009,8,12,42
2009,9,15,55
2009,10,20,64
2009,11,25,71
2009,12,30,80
2010,1,16,56
2010,2,17,57
2010,3,17,56
2010,4,16,53
2010,5,14,52
2010,6,11,41
2010,7,9,33
2010,8,10,36
2010,9,11,44
2010,10,12,47
2010,11,13,47
2010,12,10,39
2011,1,11,43
2011,2,12,44
2011,3,13,46
2011,4,11,41
2011,5,11,44
2011,6,10,35
2011,7,8,31
2011,8,8,31
2011,9,10,40
2011,10,11,42
2011,11,12,42
2011,12,10,35
2012,1,9,38
2012,2,10,40
2012,3,11,40
2012,4,10,37
2012,5,10,41
2012,6,7,29
2012,7,7,27
2012,8,7,28
2012,9,9,39
2012,10,10,41
2012,11,12,39
2012,12,8,31
2013,1,8,35
2013,2,9,37
2013,3,9,36
2013,4,10,39
2013,5,10,39
2013,6,8,31
2013,7,7,25
2013,8,7,27
2013,9,10,38
2013,10,10,40
2013,11,11,39
2013,12,8,31
2014,1,10,37
2014,2,11,40
2014,3,11,38
2014,4,12,40
2014,5,13,43
2014,6,9,34
2014,7,7,28
2014,8,8,29
2014,9,13,48
2014,10,11,42
2014,11,13,43
2014,12,9,34
2015,1,10,37
2015,2,11,40
2015,3,12,42
2015,4,12,42
2015,5,12,42
2015,6,11,36
2015,7,8,29
2015,8,10,32
2015,9,13,44
2015,10,13,45
2015,11,18,53
2015,12,19,51
2016,1,13,42
2016,2,14,43
2016,3,15,44
2016,4,16,46
2016,5,14,45
2016,6,10,35
2016,7,9,29
2016,8,10,33
2016,9,13,43
2016,10,14,45
2016,11,22,55
2016,12,15,43
2017,1,17,48
2017,2,16,47
2017,3,17,50
2017,4,17,50
2017,5,16,49
2017,6,18,65
2017,7,10,32
2017,8,11,35
2017,9,16,48
2017,10,14,46
2017,11,16,49
2017,12,13,41
2018,1,13,43
2018,2,13,45
2018,3,13,43
2018,4,14,46
2018,5,14,47
2018,6,9,34
2018,7,8,31
2018,8,11,36
2018,9,12,43
2018,10,18,54
2018,11,18,53
2018,12,15,45
2019,1,15,47
2019,2,19,54
2019,3,21,59
2019,4,23,59
2019,5,24,62
2019,6,18,48
2019,7,15,43
2019,8,18,49
2019,9,37,100
2019,10,27,68
2019,11,26,64
2019,12,21,53
2020,1,25,62
2020,2,24,58
2020,3,18,47
2020,4,16,45
2020,5,15,44
2020,6,12,37
2020,7,9,32
2020,8,10,36
2020,9,22,61
2020,10,20,52
2020,11,17,44
